EmployeeID,Name,Department,Position,Location,Salary,HireDate,PerformanceScore
EMP0001,Employee 1,Marketing,Director Marketing,San Francisco,166408,2020-04-13,4.7
EMP0002,Employee 2,Sales,Junior Sale,New York,47810,2020-11-06,3.0
EMP0003,Employee 3,Engineering,Junior Engineering,London,192869,2020-02-26,4.0
EMP0004,Employee 4,Operations,Director Operation,Sydney,65834,2022-09-20,4.9
EMP0005,Employee 5,Operations,Manager Operation,Tokyo,183261,2020-09-05,2.8
EMP0006,Employee 6,HR,Manager HR,Berlin,71050,2020-08-21,3.6
EMP0007,Employee 7,HR,Analyst HR,London,112346,2020-02-04,3.2
EMP0008,Employee 8,Finance,Lead Finance,San Francisco,88149,2020-11-25,4.4
EMP0009,Employee 9,Marketing,Analyst Marketing,San Francisco,43430,2020-08-31,4.1
EMP0010,Employee 10,Operations,Lead Operation,San Francisco,162000,2021-05-02,4.4
EMP0011,Employee 11,Sales,Lead Sale,London,152866,2022-02-17,3.3
EMP0012,Employee 12,Finance,Director Finance,London,87726,2023-06-18,3.1
EMP0013,Employee 13,Finance,Director Finance,London,111623,2020-12-12,3.7
EMP0014,Employee 14,Sales,Senior Sale,Tokyo,55849,2020-02-19,3.3
EMP0015,Employee 15,Marketing,Senior Marketing,New York,190079,2020-07-28,4.9
EMP0016,Employee 16,Finance,Senior Finance,San Francisco,114580,2020-06-23,4.3
EMP0017,Employee 17,HR,Analyst HR,San Francisco,127834,2020-11-26,4.8
EMP0018,Employee 18,Finance,Manager Finance,London,189044,2023-02-04,4.5
EMP0019,Employee 19,Finance,Lead Finance,Berlin,121154,2021-04-19,3.6
EMP0020,Employee 20,HR,Manager HR,Tokyo,75837,2022-12-11,3.7
EMP0021,Employee 21,Finance,Senior Finance,Sydney,112296,2022-02-02,3.3
EMP0022,Employee 22,Marketing,Lead Marketing,San Francisco,59019,2022-11-09,3.4
EMP0023,Employee 23,Operations,Analyst Operation,Sydney,191923,2020-03-13,4.4
EMP0024,Employee 24,Finance,Senior Finance,New York,194620,2023-07-22,3.6
EMP0025,Employee 25,Finance,Junior Finance,New York,68771,2021-11-06,3.0
EMP0026,Employee 26,Finance,Analyst Finance,New York,42630,2021-03-09,4.0
EMP0027,Employee 27,HR,Manager HR,Tokyo,58564,2020-03-01,4.0
EMP0028,Employee 28,Operations,Manager Operation,London,188918,2021-04-27,4.2
EMP0029,Employee 29,Sales,Junior Sale,Sydney,126326,2021-05-12,3.8
EMP0030,Employee 30,Finance,Manager Finance,Tokyo,161901,2023-04-12,4.3
EMP0031,Employee 31,Operations,Analyst Operation,London,53460,2021-05-07,3.6
EMP0032,Employee 32,Engineering,Lead Engineering,London,60648,2023-01-09,4.8
EMP0033,Employee 33,Sales,Junior Sale,San Francisco,110086,2022-03-18,4.0
EMP0034,Employee 34,Operations,Senior Operation,New York,134176,2021-04-14,4.5
EMP0035,Employee 35,Marketing,Junior Marketing,San Francisco,49189,2020-04-09,4.9
EMP0036,Employee 36,Marketing,Junior Marketing,London,91701,2021-04-29,3.6
EMP0037,Employee 37,HR,Manager HR,New York,117490,2020-11-09,3.6
EMP0038,Employee 38,Operations,Manager Operation,New York,161244,2022-11-29,3.8
EMP0039,Employee 39,HR,Manager HR,Berlin,68291,2020-03-16,4.2
EMP0040,Employee 40,Finance,Analyst Finance,London,43064,2023-09-04,3.7
EMP0041,Employee 41,Sales,Manager Sale,Tokyo,107204,2023-09-15,4.1
EMP0042,Employee 42,Marketing,Manager Marketing,New York,178648,2023-09-29,4.8
EMP0043,Employee 43,Sales,Director Sale,Sydney,43623,2023-09-16,3.2
EMP0044,Employee 44,Sales,Manager Sale,San Francisco,143512,2023-10-31,4.7
EMP0045,Employee 45,Operations,Senior Operation,Berlin,137555,2021-05-09,3.8
EMP0046,Employee 46,Sales,Manager Sale,Tokyo,41313,2023-03-25,4.1
EMP0047,Employee 47,Operations,Manager Operation,San Francisco,48772,2021-06-25,4.9
EMP0048,Employee 48,Finance,Lead Finance,San Francisco,72372,2021-04-10,4.7
EMP0049,Employee 49,Finance,Analyst Finance,Sydney,85467,2022-07-09,4.6
EMP0050,Employee 50,Operations,Lead Operation,London,83874,2020-01-24,3.1
EMP0051,Employee 51,Operations,Manager Operation,Berlin,138531,2021-02-20,4.8
EMP0052,Employee 52,Marketing,Director Marketing,London,151545,2023-07-18,2.6
EMP0053,Employee 53,Operations,Junior Operation,New York,170756,2020-03-22,3.5
EMP0054,Employee 54,Operations,Manager Operation,New York,53675,2020-11-01,4.0
EMP0055,Employee 55,Marketing,Director Marketing,Berlin,187904,2020-09-15,4.1
EMP0056,Employee 56,HR,Manager HR,Sydney,95889,2023-07-29,4.6
EMP0057,Employee 57,Sales,Junior Sale,San Francisco,163388,2021-12-30,4.6
EMP0058,Employee 58,Engineering,Manager Engineering,Tokyo,136008,2023-08-17,2.5
EMP0059,Employee 59,Finance,Junior Finance,Berlin,101323,2023-10-17,3.9
EMP0060,Employee 60,Finance,Lead Finance,San Francisco,61733,2022-01-05,4.8
EMP0061,Employee 61,Engineering,Director Engineering,London,170035,2022-12-01,5.0
EMP0062,Employee 62,Operations,Junior Operation,London,95772,2022-07-30,3.9
EMP0063,Employee 63,Operations,Lead Operation,Tokyo,112125,2022-11-25,4.5
EMP0064,Employee 64,Finance,Lead Finance,Berlin,168268,2023-12-29,4.2
EMP0065,Employee 65,Marketing,Director Marketing,Sydney,148743,2021-08-11,3.2
EMP0066,Employee 66,Sales,Analyst Sale,Sydney,63566,2023-03-02,3.1
EMP0067,Employee 67,Sales,Junior Sale,New York,163016,2020-01-05,3.4
EMP0068,Employee 68,HR,Manager HR,New York,104197,2022-02-15,2.9
EMP0069,Employee 69,Finance,Manager Finance,Berlin,80166,2020-05-09,3.0
EMP0070,Employee 70,Operations,Manager Operation,Tokyo,177757,2023-04-13,3.2
EMP0071,Employee 71,Operations,Director Operation,San Francisco,136235,2020-10-29,3.0
EMP0072,Employee 72,Engineering,Manager Engineering,Sydney,162876,2023-09-10,4.2
EMP0073,Employee 73,Marketing,Director Marketing,London,149724,2023-09-07,3.4
EMP0074,Employee 74,Sales,Manager Sale,Sydney,133218,2022-12-24,4.9
EMP0075,Employee 75,Marketing,Director Marketing,Berlin,100949,2021-09-25,3.0
EMP0076,Employee 76,HR,Lead HR,London,134476,2022-01-20,4.8
EMP0077,Employee 77,Engineering,Junior Engineering,London,98446,2020-07-21,3.9
EMP0078,Employee 78,Sales,Senior Sale,London,127182,2020-10-20,4.8
EMP0079,Employee 79,Finance,Director Finance,Berlin,191262,2020-02-03,3.3
EMP0080,Employee 80,Sales,Lead Sale,London,73054,2021-02-28,4.1
EMP0081,Employee 81,Operations,Senior Operation,Tokyo,144215,2022-08-25,3.5
EMP0082,Employee 82,Sales,Junior Sale,New York,65165,2020-04-28,4.3
EMP0083,Employee 83,Finance,Lead Finance,Berlin,60650,2021-03-02,3.8
EMP0084,Employee 84,HR,Manager HR,London,126770,2020-11-07,3.7
EMP0085,Employee 85,Finance,Manager Finance,London,46846,2022-09-09,3.9
EMP0086,Employee 86,Operations,Director Operation,Berlin,191603,2021-09-23,4.7
EMP0087,Employee 87,Marketing,Manager Marketing,Sydney,41007,2021-10-02,2.6
EMP0088,Employee 88,HR,Manager HR,Tokyo,57903,2021-01-30,3.3
EMP0089,Employee 89,Marketing,Senior Marketing,Berlin,159630,2022-10-23,4.2
EMP0090,Employee 90,Sales,Senior Sale,London,121503,2021-04-03,4.8
EMP0091,Employee 91,Engineering,Analyst Engineering,London,157371,2020-04-07,3.0
EMP0092,Employee 92,HR,Analyst HR,London,179829,2020-05-05,3.4
EMP0093,Employee 93,Marketing,Junior Marketing,San Francisco,158246,2023-09-26,3.8
EMP0094,Employee 94,Sales,Junior Sale,Berlin,166286,2022-02-28,2.9
EMP0095,Employee 95,Marketing,Junior Marketing,London,63379,2022-02-04,3.8
EMP0096,Employee 96,Finance,Lead Finance,New York,108046,2020-07-22,3.0
EMP0097,Employee 97,Sales,Senior Sale,Berlin,184829,2023-08-06,4.4
EMP0098,Employee 98,Sales,Director Sale,Sydney,64066,2023-02-08,4.1
EMP0099,Employee 99,Operations,Junior Operation,New York,112316,2022-01-11,4.0
EMP0100,Employee 100,Finance,Analyst Finance,San Francisco,66218,2021-06-24,2.7
EMP0101,Employee 101,Operations,Senior Operation,Berlin,109763,2021-04-24,4.0
EMP0102,Employee 102,Sales,Manager Sale,San Francisco,134088,2022-06-16,4.3
EMP0103,Employee 103,Sales,Senior Sale,Berlin,149277,2021-09-16,4.1
EMP0104,Employee 104,Sales,Manager Sale,New York,141186,2022-10-14,3.4
